"","fips","year.x","cig_tax","year.y","cig_sales_pc"
"685",31,2011,1.65,2014,47.3
"686",31,2012,1.65,2010,55
"687",31,2012,1.65,2011,53.5
"688",31,2012,1.65,2012,52.5
"689",31,2012,1.65,2013,51.2
"690",31,2012,1.65,2014,47.3
"691",31,2013,1.65,2010,55
"692",31,2013,1.65,2011,53.5
"693",31,2013,1.65,2012,52.5
"694",31,2013,1.65,2013,51.2
"695",31,2013,1.65,2014,47.3
"696",31,2014,1.65,2010,55
"697",31,2014,1.65,2011,53.5
"698",31,2014,1.65,2012,52.5
"699",31,2014,1.65,2013,51.2
"700",31,2014,1.65,2014,47.3
"701",32,2010,1.81,2010,48.1
"702",32,2010,1.81,2011,45.7
"703",32,2010,1.81,2012,43.1
"704",32,2010,1.81,2013,43.2
"705",32,2010,1.81,2014,41.6
"706",32,2011,1.81,2010,48.1
"707",32,2011,1.81,2011,45.7
"708",32,2011,1.81,2012,43.1
"709",32,2011,1.81,2013,43.2
"710",32,2011,1.81,2014,41.6
"711",32,2012,1.81,2010,48.1
"712",32,2012,1.81,2011,45.7
"713",32,2012,1.81,2012,43.1
"714",32,2012,1.81,2013,43.2
"715",32,2012,1.81,2014,41.6
"716",32,2013,1.81,2010,48.1
"717",32,2013,1.81,2011,45.7
"718",32,2013,1.81,2012,43.1
"719",32,2013,1.81,2013,43.2
"720",32,2013,1.81,2014,41.6
"721",32,2014,1.81,2010,48.1
"722",32,2014,1.81,2011,45.7
"723",32,2014,1.81,2012,43.1
"724",32,2014,1.81,2013,43.2
"725",32,2014,1.81,2014,41.6
"726",33,2010,2.79,2010,97.1
"727",33,2010,2.79,2011,92.9
"728",33,2010,2.79,2012,93.9
"729",33,2010,2.79,2013,89.6
"730",33,2010,2.79,2014,90.6
"731",33,2011,2.69,2010,97.1
"732",33,2011,2.69,2011,92.9
"733",33,2011,2.69,2012,93.9
"734",33,2011,2.69,2013,89.6
"735",33,2011,2.69,2014,90.6
"736",33,2012,2.69,2010,97.1
"737",33,2012,2.69,2011,92.9
"738",33,2012,2.69,2012,93.9
